game,id,hours,metascore,userscore,wilsonscore,sdbrating,userscore_count,release_date,win,mac,linux,steam deck,captions available,co-op,co-op any,commentary available,controller support any,cross-platform multiplayer,early access,family sharing,full controller support,geforce now,has_demo,hdr available,in-app purchases,includes level editor,includes source sdk
Call of Duty: World at War,10090,45.51666667,83.0,92.0,92.0,90.0,40492.0,11/18/2008,x,,,,,,x,,,,,x,,,,,,,
Call of Duty®: Black Ops III,311210,10.18333333,73.0,87.0,87.0,86.0,121562.0,11/5/2015,x,x,,x,,,x,,,,,x,,,,,,,
Card Hunter,293260,0.133333333,80.0,85.0,84.0,82.0,5085.0,7/13/2015,x,x,,x,x,,x,,,x,,,,,,,,x,
Cards and Castles,360730,0.4,,73.0,70.0,70.0,772.0,12/18/2015,x,x,,,,,,,,x,,,,,,,x,,
Castle Crashers®,204360,13.91666667,,96.0,96.0,94.0,82252.0,9/26/2012,x,x,,x,,,x,,,,,x,,,x,,,,
Chivalry 2,1824220,0.616666667,82.0,82.0,82.0,81.0,28156.0,6/12/2022,x,,,,,,,,,x,,,,,,,x,,
Chivalry: Medieval Warfare,219640,9.05,79.0,83.0,83.0,82.0,45078.0,10/16/2012,x,x,x,,,,x,,,,,x,,x,,,,x,
CHRONO TRIGGER®,613830,12.46666667,,87.0,86.0,85.0,8027.0,2/27/2018,x,,,x,,,,,,,,x,,,,,,,
Cities: Skylines,255710,68.63333333,85.0,93.0,93.0,92.0,188627.0,3/10/2015,x,x,x,x,,,,,,,,x,,x,,,,x,
Citizen Sleeper,1578650,,82.0,94.0,93.0,91.0,4604.0,5/5/2022,x,x,,x,,,,,,,,x,,,,,,,
Clicker Heroes,363970,2.483333333,,89.0,89.0,88.0,60164.0,5/13/2015,x,x,,,,,,,,,,,,,,,x,,
Company of Heroes,228200,,93.0,94.0,94.0,91.0,9915.0,9/11/2006,x,,,,,,x,,,,,x,,,,,,,
Company of Heroes - Legacy Edition,4560,11.1,93.0,93.0,92.0,90.0,4344.0,9/11/2006,x,,,x,,,x,,,,,x,,,,,,,
Company of Heroes 2,231430,,80.0,80.0,80.0,79.0,63613.0,6/25/2013,x,x,x,x,,,x,,,,,x,,,,,,,
Content Warning,2881650,7.616666667,,92.0,91.0,89.0,6918.0,4/1/2024,x,,,x,,,x,,,,,x,,,,,,,
Contraption Maker,241240,0.15,,92.0,90.0,86.0,838.0,7/7/2014,x,x,x,x,,,x,,,x,,x,,,x,,,x,
Costume Quest,115100,10.06666667,,94.0,93.0,90.0,2320.0,10/14/2011,x,x,x,x,,,,,,,,x,,,,,,,
Counter-Strike 2,730,57.58333333,,87.0,87.0,87.0,8000337.0,8/21/2012,x,,x,x,,,x,,,x,,,,x,,,x,,
Counter-Strike Nexon: Studio,273110,,,66.0,66.0,65.0,41557.0,10/7/2014,x,,,,x,,x,,,,,,,,,,x,,
Counter-Strike: Source,240,20.28333333,88.0,96.0,96.0,95.0,115524.0,11/1/2004,x,x,x,x,,,,,,x,,x,,x,,,,,x
Crab Game,1782210,18.4,,91.0,91.0,90.0,150604.0,10/29/2021,x,x,x,x,,,x,,,,,,,,,,,,
Crawl,293780,6.316666667,,95.0,94.0,92.0,5133.0,4/11/2017,x,x,x,x,,,x,,,,,x,,,,,,,
Creaks,956030,,82.0,95.0,94.0,91.0,3342.0,7/22/2020,x,x,,x,,,,,,,,x,,,,,,,
Crusader Kings II,203770,1.2,82.0,90.0,90.0,89.0,71100.0,2/14/2012,x,x,x,x,,,,,,,,,,x,,,,,
Cry of Fear,223710,0.6,,88.0,88.0,87.0,60346.0,4/25/2013,x,,,,,,x,,,,,,,,,,,,
Crypt,2138700,0.433333333,,90.0,89.0,85.0,1252.0,9/27/2022,x,,,,,,,,,,,,,,,,,,
Crypt of the NecroDancer,247080,16.31666667,87.0,95.0,95.0,93.0,21165.0,4/23/2015,x,x,x,x,x,,x,,,,,x,,,,,,x,
CRYPTARK,344740,,80.0,83.0,81.0,79.0,862.0,6/20/2017,x,x,x,x,,,x,,,,,x,,,,,,,
Cult of the Lamb,1313140,6.2,82.0,94.0,94.0,92.0,65425.0,8/11/2022,x,x,,x,,,,,,,,x,,,,,,,
Cyberpunk 2077,1091500,88.7,86.0,83.0,83.0,82.0,645578.0,12/9/2020,x,,,x,,,,,,,,x,,x,,,,,
Danganronpa 2: Goodbye Despair,413420,38.61666667,83.0,96.0,96.0,94.0,22832.0,4/18/2016,x,x,x,x,,,,,,,,x,,x,,,,,
